"Reference1","Reference2","Control013","Control014","Infected025","Infected026","Infected027","Infected028","dilution"
13.227,12.486,5.451,5.533,13.057,13.123,5.656,12.571,0.127003879297102
13.156,12.606,3.724,3.497,13.418,12.23,3.514,12.911,0.0317509698242756
12.607,12.681,2.677,2.607,12.299,11.655,2.682,12.214,0.00793774245606889
11.884,11.046,2.364,2.348,11.365,9.981,2.461,11.38,0.00198443561401722
9.882,10.012,2.18,2.219,11.009,7.872,2.235,10.398,0.000496108903504306
8.412,7.857,2.3,2.159,7.882,4.838,1.942,7.559,0.000124027225876076
5.536,5.634,2.231,1.929,5.687,3.47,2.059,5.54,3.10068064690191e-05
3.401,3.162,2.165,1.953,3.684,2.707,2.146,3.449,7.75170161725477e-06
2.681,2.706,2.117,2.08,2.738,2.465,2.172,2.714,1.93792540431369e-06
2.5,2.303,2.131,1.93,2.316,2.279,2.123,2.267,4.84481351078423e-07
2.264,2.335,2.146,2.216,2.244,2.278,2.094,2.246,1.21120337769606e-07
2.183,2.175,2.069,2.015,1.975,2.195,2.098,2.024,3.02800844424015e-08
