"Reference1","Reference2","Control237","Control238","Infected473","Infected474","Infected475","Infected476","dilution"
11.693,12.236,5.485,5.494,12.691,10.173,12.226,11.201,0.178525148030657
12.504,11.529,3.865,4.292,11.369,9.154,11.649,11.996,0.0446312870076641
11.668,11.841,3.364,3.546,10.833,6.383,11.283,11.512,0.011157821751916
11.087,10.81,2.806,3.306,9.602,4.905,10.773,9.851,0.00278945543797901
10.074,10.66,2.934,2.961,7.957,3.438,8.888,8.981,0.000697363859494752
7.804,8.177,2.789,2.699,5.755,3.129,6.438,5.935,0.000174340964873688
6.26,6.29,2.763,2.448,4.204,2.973,5.163,4.334,4.3585241218422e-05
4.469,4.409,2.724,2.524,3.703,2.75,3.702,3.551,1.08963103046055e-05
3.466,3.108,2.797,2.643,2.984,2.675,2.975,3.138,2.72407757615138e-06
3.089,2.991,2.597,2.73,2.723,2.966,3.131,2.832,6.81019394037844e-07
2.959,2.792,2.83,2.715,2.931,2.609,2.792,2.705,1.70254848509461e-07
2.606,2.8,2.94,2.913,2.869,2.769,2.688,2.693,4.25637121273653e-08
