"Reference1","Reference2","Control327","Control328","Infected653","Infected654","Infected655","Infected656","dilution"
16.132,14.891,6.164,5.288,15.843,15.167,15.005,14.559,0.110105758418512
15.356,15.516,3.815,3.54,14.152,14.355,14.752,14.785,0.027526439604628
14.82,14.559,2.677,2.656,14.437,12.94,14.942,12.603,0.00688160990115701
13.77,14.331,2.281,2.245,13.411,10.506,14.391,9.025,0.00172040247528925
12.494,11.762,1.856,2.083,12.711,6.717,11.289,6.53,0.000430100618822313
8.977,9.077,1.961,2.109,9.335,3.88,8.651,4.285,0.000107525154705578
5.577,5.578,1.899,1.949,6.724,2.953,5.541,2.911,2.68812886763946e-05
4.114,3.654,2.047,1.965,4.137,2.407,3.569,2.369,6.72032216909864e-06
2.832,2.531,2.038,1.93,2.721,2.227,2.36,2.265,1.68008054227466e-06
2.306,2.47,1.928,1.976,2.234,1.86,2.293,2.025,4.20020135568665e-07
1.965,2.067,1.794,1.991,2.146,2.011,1.946,1.927,1.05005033892166e-07
2.143,1.988,1.897,2.008,2,2,1.955,2.059,2.62512584730416e-08
