"Reference1","Reference2","Control141","Control142","Infected281","Infected282","Infected283","Infected284","dilution"
11.545,11.888,5.765,6.09,9.997,12.428,11.669,10.019,0.185905355316068
11.78,12.539,4.919,4.321,7.785,12.017,12.05,8.821,0.046476338829017
11.347,11.989,3.72,3.503,5.611,12.022,11.758,6.441,0.0116190847072543
11.359,11.282,3.382,3.588,4.313,11.02,11.243,4.366,0.00290477117681356
10.641,10.182,3.258,3.1,3.674,10.242,10.006,3.613,0.000726192794203391
9.021,8.347,3.38,3.045,3.353,7.805,8.827,3.297,0.000181548198550848
6.605,6.335,3.04,3.211,3.62,6.336,6.143,3.309,4.5387049637712e-05
4.563,5.092,3.187,3.144,3.25,4.747,4.988,3.053,1.1346762409428e-05
3.888,3.742,3.332,3.004,2.884,3.625,3.409,3.198,2.836690602357e-06
3.451,3.256,3.121,3.288,2.983,3.289,3.232,3.162,7.09172650589249e-07
3.198,3.142,3.477,3.063,3.233,3.189,3.104,2.797,1.77293162647312e-07
3.065,3.229,2.872,3.009,2.961,3.331,3.084,2.961,4.43232906618281e-08
