"Reference1","Reference2","Control045","Control046","Infected089","Infected090","Infected091","Infected092","dilution"
9.32,9.155,4.646,4.301,8.07,8.799,8.531,4.981,0.133526251557353
9.156,9.099,3.631,4.102,6.882,8.811,9.101,3.667,0.0333815628893383
8.724,8.719,3.518,3.497,5.587,8.832,9.054,3.452,0.00834539072233457
8.401,8.524,3.266,3.342,4.256,8.341,8.597,2.974,0.00208634768058364
7.839,7.609,2.935,3,3.876,7.394,7.48,3.095,0.000521586920145911
6.351,6.246,3.206,2.904,2.957,6.043,6.312,3.204,0.000130396730036478
5.099,4.53,3.11,3.051,3.321,4.602,4.55,2.94,3.25991825091194e-05
4.329,3.776,3.042,2.882,3.037,3.911,3.935,3.053,8.14979562727986e-06
3.457,3.724,2.953,3.272,2.918,3.376,3.171,3.057,2.03744890681996e-06
3.187,3.607,3.057,2.982,3.242,3.105,3.338,2.942,5.09362226704991e-07
2.954,3.152,3.058,3.09,3.074,3.018,3.038,3.076,1.27340556676248e-07
3.138,3.206,2.951,2.876,2.874,3.137,2.922,2.949,3.18351391690619e-08
