"Reference1","Reference2","Control029","Control030","Infected057","Infected058","Infected059","Infected060","dilution"
15.111,16.167,4.673,5.615,15.458,10.195,15.712,11.006,0.0837609275536269
15.667,15.702,3.358,3.447,15.106,7.397,14.481,7.553,0.0209402318884067
15.707,14.573,2.469,2.718,13.347,4.696,15.487,4.551,0.00523505797210168
14.049,13.62,2.37,2.424,10.324,3.02,13.12,3.012,0.00130876449302542
11.456,12.181,2.154,2.283,7.125,2.579,11.079,2.444,0.000327191123256355
8.657,9.364,2.061,2.123,4.466,2.188,8.582,2.226,8.17977808140887e-05
5.211,6.501,2.165,1.971,3.368,2.202,5.936,2.156,2.04494452035222e-05
3.523,3.392,2.133,2.231,2.338,2.15,3.525,2.167,5.11236130088055e-06
2.59,2.522,2.058,2.151,2.263,2.073,2.544,2.355,1.27809032522014e-06
2.305,2.439,2.175,2.085,2.113,2.172,2.42,2.155,3.19522581305034e-07
2.23,2.279,2.056,2.254,2.059,2.236,2.361,2.015,7.98806453262585e-08
1.987,2.408,2.143,2.086,2.247,2.167,2.156,2.201,1.99701613315646e-08
