"Reference1","Reference2","Control179","Control180","Infected357","Infected358","Infected359","Infected360","dilution"
15.71,15.768,4.905,4.756,15.474,15.148,14.808,15.594,0.109418629590106
14.902,15.398,2.953,3.137,15.525,13.119,15.673,15.774,0.0273546573975265
15.201,14.607,1.941,1.912,15.427,11.286,14.047,15.653,0.00683866434938162
14.337,12.271,1.798,1.716,13.365,9.034,14.071,13.648,0.0017096660873454
12.031,11.978,1.445,1.593,11.263,6.13,13.021,11.023,0.000427416521836351
8.404,9.503,1.484,1.589,8.897,3.303,9.319,8.92,0.000106854130459088
5.417,5.006,1.631,1.465,4.829,2.219,5.781,5.362,2.67135326147719e-05
3.324,3.036,1.428,1.357,3.128,1.786,3.81,3.234,6.67838315369299e-06
1.999,2.199,1.546,1.491,2.233,1.505,2.306,2.291,1.66959578842325e-06
1.783,1.829,1.451,1.523,1.664,1.541,1.807,1.762,4.17398947105812e-07
1.517,1.59,1.527,1.513,1.486,1.414,1.826,1.604,1.04349736776453e-07
1.599,1.526,1.534,1.492,1.542,1.476,1.653,1.364,2.60874341941132e-08
