"Reference1","Reference2","Control115","Control116","Infected229","Infected230","Infected231","Infected232","dilution"
10.998,11.947,5.007,4.753,12.343,11.548,4.97,11.346,0.0813119970738278
11.738,11.824,4.028,3.93,11.161,10.332,3.662,10.217,0.020327999268457
11.075,11.864,3.279,3.413,11.788,8.947,3.231,8.686,0.00508199981711424
10.658,10.384,3.464,2.942,10.063,7.086,3.319,7.072,0.00127049995427856
8.689,9.065,2.996,3.144,8.523,5.625,2.982,5.016,0.00031762498856964
7.437,6.922,2.83,2.982,7.389,4.136,3.088,4.357,7.940624714241e-05
5.279,4.954,2.773,2.988,5.54,3.526,2.884,3.515,1.98515617856025e-05
3.827,3.998,3.089,2.906,4.418,3.521,2.901,3.219,4.96289044640062e-06
3.446,3.592,3.231,2.986,3.472,3.301,3.112,3,1.24072261160016e-06
3.171,3.152,3.056,2.989,3.137,2.935,3.119,3.217,3.10180652900039e-07
3.275,3.377,2.919,3.178,3.33,3.163,3.24,3.171,7.75451632250098e-08
3.26,2.908,2.974,2.935,3.252,3.079,2.927,3.305,1.93862908062524e-08
