"Reference1","Reference2","Control267","Control268","Infected533","Infected534","Infected535","Infected536","dilution"
10.963,11.259,4.392,4.379,10.871,5.4,11.127,4.881,0.107711372176522
10.429,11.338,3.552,3.128,10.647,3.933,10.859,3.484,0.0269278430441306
10.188,10.128,2.736,2.806,11.24,2.916,10.957,2.913,0.00673196076103265
10.048,9.762,2.544,2.549,10.33,2.665,9.834,2.282,0.00168299019025816
8.843,9.105,2.261,2.603,9.419,2.248,8.096,2.459,0.000420747547564541
7.025,7.403,2.534,2.507,7.423,2.456,6.431,2.361,0.000105186886891135
4.707,5.426,2.274,2.512,5.233,2.475,5.076,2.3,2.62967217227838e-05
3.464,3.766,2.274,2.275,3.936,2.586,3.484,2.438,6.57418043069595e-06
2.964,2.92,2.323,2.281,2.878,2.416,2.946,2.183,1.64354510767399e-06
2.536,2.886,2.383,2.223,2.63,2.328,2.569,2.419,4.10886276918497e-07
2.483,2.403,2.485,2.231,2.528,2.316,2.549,2.551,1.02721569229624e-07
2.511,2.531,2.624,2.302,2.272,2.273,2.363,2.249,2.56803923074061e-08
