"Reference1","Reference2","Control187","Control188","Infected373","Infected374","Infected375","Infected376","dilution"
10.891,10.77,4.521,4.706,11.99,10.889,11.717,9.926,0.156050743717663
10.071,12.011,2.836,3.334,10.602,10.418,11.411,10.301,0.0390126859294157
10.685,10.525,2.39,2.525,10.701,10.127,10.566,8.415,0.00975317148235392
9.738,10.453,1.877,2.197,10.782,10.567,9.251,6.785,0.00243829287058848
8.936,9.426,1.777,1.869,9.072,8.94,8.014,4.762,0.00060957321764712
7.974,6.484,1.843,1.754,7.45,7.774,5.852,2.741,0.00015239330441178
5.067,4.81,1.742,1.747,5.401,5.183,3.463,2.162,3.8098326102945e-05
3.324,3.358,1.707,1.997,3.905,4.033,2.45,1.886,9.52458152573625e-06
2.406,2.455,1.949,1.667,2.624,2.51,2.17,1.982,2.38114538143406e-06
2.009,2.022,1.764,1.691,2.158,1.981,1.832,1.88,5.95286345358516e-07
1.909,1.853,1.702,1.693,1.935,1.976,1.867,1.942,1.48821586339629e-07
1.665,1.831,1.825,1.953,1.763,1.766,1.906,1.786,3.72053965849072e-08
