"Reference1","Reference2","Control275","Control276","Infected549","Infected550","Infected551","Infected552","dilution"
11.508,11.592,5.615,5.24,11.515,11.287,9.314,6.669,0.149332852141286
10.77,11.971,4.101,3.254,10.794,10.949,7.684,4.259,0.0373332130353216
11.102,10.863,3.047,3.225,11.552,9.579,6.089,3.606,0.0093333032588304
11.363,10.268,2.752,2.714,9.943,7.234,4.179,2.642,0.0023333258147076
10.012,10.299,2.661,2.541,9.296,5.572,3.521,2.745,0.0005833314536769
7.415,7.383,2.37,2.825,7.568,4.12,3.081,3.01,0.000145832863419225
6.195,5.563,2.615,2.708,5.544,3.025,2.573,2.762,3.64582158548062e-05
4.152,3.897,2.443,2.818,4.131,2.877,2.838,2.553,9.11455396370156e-06
3.219,3.407,2.782,2.621,3.133,2.825,2.713,2.76,2.27863849092539e-06
2.73,2.939,2.597,2.647,2.944,2.91,2.752,2.668,5.69659622731347e-07
2.546,2.707,2.833,2.563,2.731,2.33,2.578,2.74,1.42414905682837e-07
2.762,2.658,2.667,2.652,2.799,2.527,2.728,2.731,3.56037264207092e-08
