"Reference1","Reference2","Control039","Control040","Infected077","Infected078","Infected079","Infected080","dilution"
11.649,11.45,4.593,4.601,7.074,11.599,4.464,12.542,0.15888038464876
11.585,11.089,3.134,3.215,5.199,11.71,3.288,11.605,0.0397200961621901
11.08,11.166,2.118,2.236,3.793,11.344,2.216,10.791,0.00993002404054753
10.941,10.739,2.014,1.942,2.582,10.92,1.842,10.37,0.00248250601013688
9.385,9.654,1.701,1.717,1.964,9.535,1.92,8.663,0.000620626502534221
7.604,7.016,1.817,1.685,1.613,6.931,1.73,6.666,0.000155156625633555
5.201,5.241,1.768,1.647,1.605,4.5,1.709,4.565,3.87891564083888e-05
3.563,3.193,1.812,1.705,1.812,3.252,1.785,3.049,9.6972891020972e-06
2.406,2.299,1.629,1.706,1.643,2.319,1.719,2.304,2.4243222755243e-06
2.168,1.961,1.728,1.656,1.723,2.054,1.736,1.952,6.06080568881075e-07
1.672,1.75,1.828,1.706,1.782,1.848,1.721,1.758,1.51520142220269e-07
1.89,1.618,1.792,1.66,1.852,1.906,1.568,1.781,3.78800355550672e-08
