"Reference1","Reference2","Control311","Control312","Infected621","Infected622","Infected623","Infected624","dilution"
9.109,9.451,2.946,3.464,8.917,9.663,8.877,9.498,0.13115615916792
8.848,9.491,2.416,2.307,8.446,9.551,6.819,9.337,0.03278903979198
8.608,8.954,1.619,1.549,8.28,9.321,5.436,8.573,0.008197259947995
8.309,8.522,1.39,1.422,8.201,8.55,3.568,8.436,0.00204931498699875
7.27,7.266,1.286,1.271,6.025,6.998,2.051,7.235,0.000512328746749688
5.286,5.96,1.286,1.387,4.773,4.828,1.585,5.979,0.000128082186687422
3.872,4.294,1.368,1.356,2.997,3.221,1.544,4.067,3.20205466718555e-05
2.285,2.299,1.207,1.186,2.035,2.114,1.273,2.509,8.00513666796387e-06
1.63,1.742,1.21,1.24,1.544,1.799,1.316,1.86,2.00128416699097e-06
1.474,1.417,1.273,1.154,1.267,1.377,1.302,1.337,5.00321041747742e-07
1.236,1.273,1.2,1.345,1.305,1.215,1.242,1.319,1.25080260436936e-07
1.309,1.32,1.371,1.264,1.319,1.224,1.39,1.259,3.12700651092339e-08
