"Reference1","Reference2","Control345","Control346","Infected689","Infected690","Infected691","Infected692","dilution"
10.5,10.428,4.217,4.106,8.912,6.212,6.34,10.851,0.126242282582846
10.29,10.726,3.14,3.06,7.46,4.073,4.253,10.915,0.0315605706457114
9.993,10.618,2.725,2.483,5.171,3.034,3.212,9.839,0.00789014266142786
9.729,9.917,2.353,2.371,3.745,2.457,2.584,10.105,0.00197253566535696
9.112,8.53,2.14,2.303,2.649,2.131,2.312,9.05,0.000493133916339241
6.951,6.447,2.138,2.011,2.335,2.198,2.157,6.294,0.00012328347908481
4.544,4.417,2.182,2.17,2.16,2.321,2.237,4.431,3.08208697712026e-05
3.296,3.104,2.019,2.107,2.167,1.994,2.144,3.548,7.70521744280064e-06
2.756,2.882,1.997,2.08,2.285,2.086,1.943,2.494,1.92630436070016e-06
2.209,2.431,2.077,2.179,1.991,1.954,2.123,2.289,4.8157609017504e-07
1.888,2.314,2.191,2.082,2.016,2.11,2.136,2.278,1.2039402254376e-07
2.099,2.112,2.076,2.172,2.132,2.231,2.008,2.166,3.009850563594e-08
