"Reference1","Reference2","Control315","Control316","Infected629","Infected630","Infected631","Infected632","dilution"
8.762,9.085,3.414,3.859,5.914,5.361,6.549,7.982,0.136639714548312
8.401,8.169,2.682,2.585,3.818,4.01,4.569,6.476,0.0341599286370781
8.306,8.617,2.083,2.081,2.775,2.904,3.146,4.657,0.00853998215926952
7.743,8.312,1.849,1.967,2.336,2.274,2.502,3.489,0.00213499553981738
7.017,7.322,1.737,1.83,1.986,2.033,2.154,2.507,0.000533748884954345
5.449,5.525,1.883,1.733,1.891,1.787,1.894,2.141,0.000133437221238586
4.201,3.837,1.745,1.648,1.849,1.79,1.868,1.824,3.33593053096466e-05
2.992,2.868,1.993,1.825,1.74,1.671,1.736,1.707,8.33982632741164e-06
2.182,2.169,1.738,1.751,2.016,1.712,1.977,1.927,2.08495658185291e-06
1.809,1.869,1.912,1.901,1.807,2.014,1.731,1.689,5.21239145463227e-07
1.771,1.978,1.943,1.733,1.713,1.766,1.698,1.728,1.30309786365807e-07
1.7,2.109,1.865,1.709,1.729,1.734,1.702,1.791,3.25774465914517e-08
