"Reference1","Reference2","Control215","Control216","Infected429","Infected430","Infected431","Infected432","dilution"
6.327,6.76,3.102,3.195,4.561,6.944,5.766,3.624,0.154521800713684
6.26,6.269,2.845,2.69,3.804,6.445,5.581,3.1,0.0386304501784209
5.401,5.354,2.602,2.565,3.204,5.713,4.714,2.767,0.00965761254460522
5.092,5.199,2.398,2.269,2.798,5.176,4.772,2.43,0.00241440313615131
4.538,4.755,2.45,2.359,2.345,4.864,4.146,2.565,0.000603600784037827
3.897,4.048,2.422,2.402,2.18,4.442,3.249,2.367,0.000150900196009457
3.242,3.29,2.471,2.485,2.605,3.607,2.513,2.285,3.77250490023642e-05
2.801,2.979,2.522,2.277,2.328,2.905,2.454,2.397,9.43126225059104e-06
2.624,2.394,2.441,2.344,2.376,2.813,2.514,2.434,2.35781556264776e-06
2.564,2.505,2.254,2.472,2.294,2.197,2.389,2.239,5.8945389066194e-07
2.547,2.327,2.437,2.355,2.589,2.378,2.407,2.448,1.47363472665485e-07
2.353,2.401,2.427,2.467,2.292,2.505,2.339,2.301,3.68408681663712e-08
