"Reference1","Reference2","Control173","Control174","Infected345","Infected346","Infected347","Infected348","dilution"
15.267,15.369,3.999,3.965,16.912,16.665,15.665,16.31,0.0910631129158304
12.764,14.89,2.848,2.659,14.69,14.253,14.302,14.803,0.0227657782289576
12.439,11.871,2.024,2.086,13.074,12.348,13.23,12.433,0.0056914445572394
11.157,10.537,1.743,2.082,11.62,11.05,11.309,10.852,0.00142286113930985
8.44,9.123,1.716,2.007,9.261,9.077,9.146,8.296,0.000355715284827463
6.498,6.514,1.737,1.751,6.835,6.686,7.09,6.585,8.89288212068657e-05
4.17,4.356,1.751,1.739,4.554,4.341,4.459,4.272,2.22322053017164e-05
2.847,3.017,1.712,1.857,3.245,2.905,2.935,2.878,5.5580513254291e-06
2.317,2.312,1.661,1.762,2.353,2.225,2.302,2.215,1.38951283135728e-06
1.852,2,1.556,1.788,2.037,1.796,2.028,1.926,3.47378207839319e-07
1.838,1.833,1.611,1.75,1.665,1.71,1.635,1.651,8.68445519598298e-08
1.645,1.698,1.709,1.756,1.862,1.701,1.79,1.81,2.17111379899574e-08
