"Reference1","Reference2","Control067","Control068","Infected133","Infected134","Infected135","Infected136","dilution"
9.837,10.489,3.561,3.51,9.701,9.337,7.67,3.224,0.174347927470997
8.544,8.981,2.688,2.82,8.849,9.274,7.655,2.701,0.0435869818677491
8.15,8.048,2.311,2.34,7.649,8.216,6.086,2.387,0.0108967454669373
7.043,7.022,2.009,2.192,7.306,7.576,5.284,1.804,0.00272418636673432
5.992,6.223,2.011,1.787,6.35,6.639,3.673,1.865,0.00068104659168358
5.004,4.953,1.679,1.96,4.981,5.192,2.758,1.908,0.000170261647920895
3.649,3.754,1.833,1.751,3.463,3.833,2.295,1.964,4.25654119802238e-05
2.826,2.731,1.81,1.987,2.756,2.937,2.071,1.889,1.06413529950559e-05
2.189,2.258,1.839,1.98,2.191,2.439,1.911,1.807,2.66033824876399e-06
2.109,1.823,2.088,1.911,1.987,1.907,1.911,1.719,6.65084562190997e-07
1.967,2.063,1.843,1.811,1.834,1.727,1.794,1.744,1.66271140547749e-07
1.892,1.842,1.696,1.771,1.936,2.014,1.791,1.848,4.15677851369373e-08
