"Reference1","Reference2","Control039","Control040","Infected077","Infected078","Infected079","Infected080","dilution"
6.418,6.15,3.128,2.872,5.87,5.665,4.299,3.22,0.153617203427889
5.546,5.879,2.653,2.57,5.21,5.882,3.878,2.588,0.0384043008569723
5.26,5.107,2.26,2.31,4.918,5.283,3.261,2.423,0.00960107521424309
5.093,4.744,2.364,2.389,4.778,4.753,2.603,2.314,0.00240026880356077
4.462,4.692,2.169,2.253,4.375,4.242,2.472,2.115,0.000600067200890193
3.788,3.67,2.196,2.418,3.529,3.765,2.369,2.406,0.000150016800222548
3.08,3.074,2.322,2.23,2.819,3.258,2.356,2.485,3.75042000556371e-05
2.577,2.727,2.353,2.172,2.381,2.7,2.154,2.221,9.37605001390926e-06
2.564,2.453,2.22,2.191,2.358,2.41,2.446,2.307,2.34401250347732e-06
2.354,2.396,2.177,2.387,2.245,2.181,2.354,2.295,5.86003125869329e-07
2.188,2.235,2.122,2.311,2.222,2.379,2.239,2.412,1.46500781467332e-07
2.182,2.337,2.217,2.129,2.167,2.154,2.333,2.132,3.66251953668331e-08
