"Reference1","Reference2","Control131","Control132","Infected261","Infected262","Infected263","Infected264","dilution"
7.861,7.843,3.086,3.138,8.199,8.223,8.256,7.634,0.149146910761579
7.304,7.232,2.638,2.594,7.227,7.027,7.053,6.71,0.0372867276903947
6.34,6.755,2.408,2.368,6.78,6.622,6.133,6.807,0.00932168192259868
5.787,5.727,2.074,2.09,5.721,6.312,5.743,5.818,0.00233042048064967
5.271,5.184,2.084,2.294,5.21,5.267,4.595,4.932,0.000582605120162417
4.481,4.325,2.136,1.964,4.319,4.045,4.317,4.145,0.000145651280040604
3.305,3.296,1.955,2.147,3.524,3.351,3.274,3.151,3.64128200101511e-05
2.748,2.598,2.25,2.085,2.873,2.455,2.626,2.531,9.10320500253777e-06
2.2,2.208,2.063,1.962,2.29,2.504,2.305,2.285,2.27580125063444e-06
2.173,1.973,2.176,2.081,2.172,2.24,1.955,2.191,5.68950312658611e-07
1.945,2.221,2.031,2.059,2.004,2.22,1.834,2.12,1.42237578164653e-07
2.187,2.094,2.1,2.144,2.154,2.179,1.952,2.08,3.55593945411632e-08
