"Reference1","Reference2","Control123","Control124","Infected245","Infected246","Infected247","Infected248","dilution"
11.279,11.323,3.804,3.763,11.909,11.351,6.332,11.236,0.15802526842094
9.846,9.981,2.882,2.721,9.614,9.649,4.705,10.183,0.0395063171052351
8.899,8.319,2.143,2.329,8.576,9.287,3.338,8.788,0.00987657927630877
7.813,7.979,2.094,1.853,8.061,7.905,2.638,7.946,0.00246914481907719
7.048,6.32,1.949,1.788,7.019,7.08,2.285,7.184,0.000617286204769298
5.463,5.376,1.988,1.822,5.279,5.408,1.958,5.531,0.000154321551192324
3.673,3.677,1.775,1.692,3.756,4.245,1.978,4.021,3.85803877980811e-05
2.79,2.576,1.79,1.684,2.836,2.968,2.028,2.768,9.64509694952028e-06
2.094,2.343,1.993,1.657,2.273,2.609,1.911,2.299,2.41127423738007e-06
2.02,2.019,1.781,1.949,1.932,2.063,1.966,2.036,6.02818559345017e-07
1.966,1.902,1.853,1.961,1.988,1.696,1.84,2.014,1.50704639836254e-07
1.908,1.953,1.857,1.838,1.888,1.803,1.826,1.872,3.76761599590636e-08
