"Reference1","Reference2","Control181","Control182","Infected361","Infected362","Infected363","Infected364","dilution"
12.193,11.919,4.394,4.45,11.747,12.349,8.15,8.449,0.165138925693247
10.553,11.594,3.271,3.19,10.192,11.34,7.121,6.849,0.0412847314233117
9.338,9.946,2.697,2.56,9.597,9.252,5.59,5.006,0.0103211828558279
8.557,8.572,2.4,2.601,8.176,9.176,4.105,4.036,0.00258029571395698
7.344,8.098,2.432,2.406,7.501,7.553,3.066,3.089,0.000645073928489245
6.212,6.331,2.34,2.305,5.921,6.299,2.648,2.585,0.000161268482122311
4.717,4.825,2.436,2.313,4.621,4.769,2.422,2.402,4.03171205305778e-05
3.455,3.669,2.308,2.269,3.511,3.364,2.352,2.172,1.00792801326445e-05
2.757,2.771,2.443,2.358,2.731,2.762,2.357,2.442,2.51982003316111e-06
2.703,2.344,2.336,2.342,2.411,2.699,2.26,2.347,6.29955008290278e-07
2.489,2.252,2.436,2.108,2.3,2.316,2.438,2.404,1.5748875207257e-07
2.411,2.403,2.31,2.242,2.363,2.22,2.328,2.383,3.93721880181424e-08
