"Reference1","Reference2","Control091","Control092","Infected181","Infected182","Infected183","Infected184","dilution"
8.226,8.07,3.413,3.112,8.368,8.23,7.246,3.017,0.145692925061357
7.336,7.395,2.296,2.507,7.187,7.297,6.162,2.27,0.0364232312653393
6.231,6.477,2.073,2.042,6.513,6.544,5.572,2.138,0.00910580781633482
5.734,5.557,1.954,1.853,5.738,5.624,5.038,2.02,0.0022764519540837
5.394,5.373,1.966,1.862,5.488,4.861,3.715,1.921,0.000569112988520926
4.208,4.169,1.701,1.895,4.262,4.257,2.89,1.969,0.000142278247130232
3.153,2.961,1.852,1.754,3.146,3.023,2.29,1.917,3.55695617825579e-05
2.437,2.433,1.947,2.017,2.699,2.532,2.026,1.882,8.89239044563947e-06
2.181,2.067,1.863,1.828,1.995,2.098,2.036,1.855,2.22309761140987e-06
2.086,1.947,1.787,1.747,2.007,2.077,1.904,1.708,5.55774402852467e-07
1.856,1.894,1.759,1.936,2.059,2.044,1.836,1.934,1.38943600713117e-07
1.876,1.94,1.833,1.975,1.894,1.861,1.867,1.913,3.47359001782792e-08
