"Reference1","Reference2","Control155","Control156","Infected309","Infected310","Infected311","Infected312","dilution"
8.581,8.514,3.694,3.456,8.189,6.566,5.36,8.103,0.132468744236794
7.594,7.353,2.779,2.916,7.642,6.316,5.107,7.697,0.0331171860591986
6.764,7.019,2.508,2.619,6.321,5.627,4.002,6.738,0.00827929651479964
6.403,6.127,2.47,2.47,6.005,4.477,3.011,6.155,0.00206982412869991
5.373,5.439,2.435,2.417,5.36,3.769,2.609,5.379,0.000517456032174978
4.706,4.706,2.104,2.264,4.362,3.031,2.554,4.451,0.000129364008043744
3.872,3.433,2.415,2.34,3.316,2.576,2.183,3.512,3.23410020109361e-05
3.023,2.987,2.547,2.275,3.102,2.607,2.369,3,8.08525050273403e-06
2.564,2.425,2.269,2.278,2.852,2.478,2.402,2.74,2.02131262568351e-06
2.35,2.63,2.607,2.315,2.585,2.431,2.485,2.606,5.05328156420877e-07
2.43,2.175,2.379,2.328,2.58,2.299,2.562,2.559,1.26332039105219e-07
2.708,2.242,2.323,2.488,2.501,2.31,2.473,2.336,3.15830097763048e-08
