"Reference1","Reference2","Control121","Control122","Infected241","Infected242","Infected243","Infected244","dilution"
13.397,14.296,5.067,4.819,10.311,11.074,5.004,10.59,0.149534058381306
12.574,12.103,3.757,3.742,8.917,9.247,4.187,9.156,0.0373835145953266
11.229,10.288,3.2,3.244,7.371,8.521,3.267,7.929,0.00934587864883165
10.06,9.982,3.075,2.764,5.954,6.48,2.821,5.998,0.00233646966220791
8.905,9.165,2.924,2.902,4.359,5.043,2.674,4.498,0.000584117415551978
7.245,7.07,2.744,2.594,3.452,3.692,3.067,3.592,0.000146029353887994
5.207,5.108,3.214,2.938,3.06,3.194,2.516,2.981,3.65073384719986e-05
3.943,3.844,2.828,2.619,3.015,3.141,2.493,2.857,9.12683461799965e-06
3.353,3.268,2.749,2.907,2.901,2.751,2.848,2.982,2.28170865449991e-06
2.981,3.061,2.922,3.001,2.73,2.648,2.766,2.921,5.70427163624978e-07
3.151,2.92,2.988,2.864,2.802,2.773,2.682,2.568,1.42606790906245e-07
3.104,2.6,2.564,2.962,2.723,2.871,3.102,2.762,3.56516977265612e-08
