"Reference1","Reference2","Control095","Control096","Infected189","Infected190","Infected191","Infected192","dilution"
13.603,12.668,5.204,5.485,13.949,13.513,10.157,13.773,0.167171723593364
12.433,12.267,4.518,4.037,11.797,11.943,9.279,12.656,0.0417929308983411
10.699,10.876,3.721,3.345,10.318,11.073,7.933,10.966,0.0104482327245853
9.278,9.797,3.079,3.108,9.285,9.64,6.536,9.763,0.00261205818114632
8.743,8.508,3.73,3.016,8.62,8.845,4.985,8.213,0.00065301454528658
7.325,7.026,3.343,3.426,6.982,7.106,4.039,7.022,0.000163253636321645
5.635,5.632,3.042,3.171,5.659,5.481,3.724,5.046,4.08134090804112e-05
4.462,4.437,3.281,3.289,4.091,4.159,3.414,4.345,1.02033522701028e-05
4.003,3.617,3.163,3.273,3.833,3.638,3.242,3.469,2.5508380675257e-06
3.526,3.331,2.911,3.247,3.661,3.514,3.427,3.297,6.37709516881426e-07
3.21,3.3,3.041,3.177,3.203,3.144,3.139,3.355,1.59427379220356e-07
3.368,3.152,3.318,2.923,3.105,3.275,3.187,3.057,3.98568448050891e-08
