"Reference1","Reference2","Control107","Control108","Infected213","Infected214","Infected215","Infected216","dilution"
14.288,15.227,4.694,4.671,11.1,14.675,12.085,15.597,0.11462967855976
13.353,13.501,3.64,3.763,9.989,12.966,10.91,12.726,0.02865741963994
12.099,11.771,3.011,2.894,9.525,11.425,9.307,12.208,0.00716435490998501
10.876,10.256,2.855,2.666,6.386,10.783,7.535,10.294,0.00179108872749625
9.098,8.865,2.591,2.683,4.822,9.045,5.489,8.707,0.000447772181874063
6.608,6.828,2.637,2.425,3.653,6.897,4.128,6.942,0.000111943045468516
5.097,4.934,2.502,2.519,3.008,5.06,3.122,4.843,2.79857613671289e-05
3.508,3.391,2.355,2.491,2.753,3.888,3.151,3.773,6.99644034178223e-06
3.132,2.965,2.523,2.398,2.733,2.864,2.815,3.142,1.74911008544556e-06
2.887,2.798,2.474,2.584,2.455,2.802,2.615,2.723,4.3727752136139e-07
2.876,2.748,2.52,2.488,2.619,2.723,2.669,2.664,1.09319380340347e-07
2.57,2.61,2.42,2.566,2.657,2.685,2.58,2.715,2.73298450850868e-08
