"Reference1","Reference2","Control163","Control164","Infected325","Infected326","Infected327","Infected328","dilution"
11.14,11.718,4.38,4.34,11.167,11.747,11.359,11.129,0.10512610111416
10.316,10.085,3.327,3.309,9.609,10.295,10.931,9.412,0.0262815252785399
9.694,9.157,2.971,2.979,8.905,9.258,9.311,8.469,0.00657038131963497
8.352,8.346,2.758,3.31,8.561,8.095,7.918,7.291,0.00164259532990874
7.839,7.243,2.922,3.06,7.116,7.253,6.936,5.882,0.000410648832477186
5.826,5.702,2.845,3.153,5.241,5.531,5.504,4.687,0.000102662208119296
4.361,4.55,2.908,2.921,4.669,4.193,4.674,3.94,2.56655520298241e-05
3.873,3.643,2.932,2.947,3.429,3.707,3.464,3.288,6.41638800745603e-06
3.38,3.017,2.979,2.697,3.17,3.185,3.302,3.155,1.60409700186401e-06
3.216,2.984,2.995,2.914,2.949,2.985,3.01,2.75,4.01024250466002e-07
3.01,2.791,3.032,2.998,2.874,3.009,2.971,2.957,1.002560626165e-07
2.775,2.876,2.898,3.061,2.888,2.865,2.789,2.804,2.50640156541251e-08
