"Reference1","Reference2","Control203","Control204","Infected405","Infected406","Infected407","Infected408","dilution"
9.22,8.923,3.99,4.162,9.282,8.764,8.844,9.509,0.128265528678433
8.611,8.356,3.4,3.485,8.358,8.613,8.221,8.216,0.0320663821696084
7.843,7.246,2.962,2.971,7.645,7.839,7.244,7.704,0.00801659554240209
6.537,6.933,2.893,2.845,7.236,6.423,7.114,6.727,0.00200414888560052
6.136,5.768,3.04,3.021,6.063,5.936,6.184,6.02,0.00050103722140013
5.21,4.656,3.079,2.925,5.559,5.011,5.397,5.126,0.000125259305350033
4.344,4.135,2.945,2.919,4.117,4.399,4.15,4.316,3.13148263375082e-05
3.368,3.234,3.054,3.011,3.595,3.422,3.616,3.63,7.82870658437704e-06
3.322,3.148,3.013,2.912,3.142,3.091,3.134,3.37,1.95717664609426e-06
3.043,3.011,2.894,2.844,3.119,3.079,3.226,2.92,4.89294161523565e-07
3.012,2.892,2.757,2.995,2.865,2.945,3.024,2.83,1.22323540380891e-07
2.858,2.46,3.035,2.837,2.935,2.717,2.809,3.099,3.05808850952228e-08
