"Reference1","Reference2","Control197","Control198","Infected393","Infected394","Infected395","Infected396","dilution"
8.745,8.697,3.699,3.433,8.892,9.173,7.334,9.271,0.0989534686302159
8.045,8.444,2.851,3.002,7.522,7.993,6.818,8.505,0.024738367157554
7.353,7.268,2.713,2.699,7.318,7.573,6.331,7.163,0.00618459178938849
6.355,6.575,2.736,2.754,6.671,6.464,5.605,6.44,0.00154614794734712
5.381,5.537,2.647,2.513,5.188,5.847,4.182,6.149,0.000386536986836781
4.572,4.463,2.389,2.431,4.477,4.747,3.142,4.643,9.66342467091952e-05
3.789,3.499,2.478,2.398,3.63,3.941,2.745,3.701,2.41585616772988e-05
3.062,2.984,2.453,2.458,2.899,2.998,2.625,3.021,6.0396404193247e-06
2.696,2.528,2.519,2.456,2.489,2.64,2.545,2.271,1.50991010483118e-06
2.382,2.61,2.546,2.375,2.521,2.508,2.497,2.585,3.77477526207794e-07
2.453,2.58,2.381,2.318,2.45,2.642,2.335,2.325,9.43693815519484e-08
2.417,2.399,2.404,2.609,2.477,2.554,2.301,2.604,2.35923453879871e-08
