"Reference1","Reference2","Control139","Control140","Infected277","Infected278","Infected279","Infected280","dilution"
11.095,10.814,4.307,4.334,4.954,9.755,10.708,11.103,0.0889489067352954
9.64,9.499,3.439,3.53,4.136,10.107,9.462,9.794,0.0222372266838238
9.141,8.677,2.984,3.041,3.242,8.709,8.892,8.568,0.00555930667095596
7.582,7.981,3.371,3.136,3.202,8.303,7.85,7.742,0.00138982666773899
6.887,7.472,2.861,2.874,3.043,6.845,6.426,7.299,0.000347456666934748
5.528,5.972,3.024,3.05,2.912,5.495,4.946,5.354,8.68641667336869e-05
4.363,4.321,2.927,2.858,2.833,4.466,3.962,4.292,2.17160416834217e-05
3.366,3.692,3.121,3.246,2.682,3.731,3.484,3.288,5.42901042085543e-06
3.188,3.353,3.024,2.986,2.955,3.263,3.099,3.165,1.35725260521386e-06
3.094,3.203,2.974,2.645,2.899,2.841,2.813,2.866,3.39313151303464e-07
2.968,2.846,3.149,3.002,3.084,3.01,2.98,3.2,8.48282878258661e-08
3.088,2.859,3.128,2.835,2.861,3.132,2.828,2.857,2.12070719564665e-08
