"Reference1","Reference2","Control159","Control160","Infected317","Infected318","Infected319","Infected320","dilution"
8.49,9.192,3.105,3.023,6.184,9.119,4.159,8.379,0.104139166570806
8.145,7.938,2.471,2.739,5.266,8.287,3.184,6.845,0.0260347916427015
7.467,7.067,2.258,2.213,4.138,7.492,2.518,6.321,0.00650869791067538
6.758,6.56,1.948,2.055,2.895,6.413,2.021,5.117,0.00162717447766884
5.354,5.512,1.955,2.256,2.621,5.697,1.898,3.946,0.000406793619417211
4.683,4.257,1.948,1.924,2.029,4.501,2.141,2.93,0.000101698404854303
3.265,3.294,2.024,1.911,1.991,3.168,2.118,2.344,2.54246012135757e-05
2.657,2.689,1.968,2.115,2.262,2.506,1.806,2.234,6.35615030339392e-06
2.167,2.089,1.832,1.973,2.084,2.182,1.975,2.031,1.58903757584848e-06
2.068,2,2.087,2.092,1.951,2.119,1.962,2.21,3.9725939396212e-07
1.939,1.955,1.995,2.042,1.908,2.042,2.035,1.979,9.931484849053e-08
1.996,1.952,2.068,1.917,2.008,1.783,2.128,1.836,2.48287121226325e-08
