"Reference1","Reference2","Control009","Control010","Infected017","Infected018","Infected019","Infected020","dilution"
8.195,8.359,3.374,3.477,6.288,6.547,6.295,7.223,0.156813686406285
7.438,7.173,2.602,2.708,5.623,5.592,5.457,6.466,0.0392034216015713
6.406,6.401,2.397,2.171,4.856,5.004,4.373,5.79,0.00980085540039283
6.093,5.767,2.176,2.064,4.125,4.215,3.576,5.067,0.00245021385009821
5.606,5.256,2.033,2.175,2.924,3.024,2.999,3.886,0.000612553462524552
4.218,4.523,2.005,2.088,2.49,2.805,2.355,3.081,0.000153138365631138
3.396,3.5,2.13,2.156,2.261,2.048,2.125,2.483,3.82845914077845e-05
2.686,2.735,2.034,2.043,2.09,2.038,2.052,1.999,9.57114785194612e-06
2.432,2.342,2.113,2.03,2.097,1.974,2.077,1.901,2.39278696298653e-06
2.402,2.093,2.064,2.019,1.925,2.17,2.251,2.046,5.98196740746632e-07
2.278,2.035,1.94,2.094,2.041,2.061,2.075,2.183,1.49549185186658e-07
2.145,2.003,2.19,1.863,2.106,2.202,1.943,1.997,3.73872962966645e-08
