"Reference1","Reference2","Control059","Control060","Infected117","Infected118","Infected119","Infected120","dilution"
12.996,13.794,4.793,4.846,7.494,10.903,9.676,14.193,0.147285525845651
13.299,13.048,3.646,3.565,5.627,9.969,8.601,12.825,0.0368213814614127
11.692,11.181,2.738,2.946,3.689,9.029,7.166,10.725,0.00920534536535317
9.356,9.823,2.251,2.754,3.039,7.252,5.136,9.794,0.00230133634133829
8.937,8.662,2.573,2.673,2.681,5.291,3.785,8.227,0.000575334085334573
6.888,7.04,2.395,2.478,2.338,3.9,3.048,6.663,0.000143833521333643
4.904,4.726,2.328,2.629,2.586,3.018,2.794,4.488,3.59583803334108e-05
3.769,3.706,2.535,2.605,2.534,2.964,2.552,3.465,8.9895950833527e-06
3.057,2.951,2.601,2.471,2.369,2.419,2.24,3.096,2.24739877083818e-06
2.759,2.533,2.415,2.596,2.642,2.787,2.483,2.64,5.61849692709544e-07
2.628,2.603,2.658,2.325,2.445,2.601,2.467,2.482,1.40462423177386e-07
2.55,2.652,2.477,2.387,2.264,2.458,2.488,2.375,3.51156057943465e-08
