"Reference1","Reference2","Control031","Control032","Infected061","Infected062","Infected063","Infected064","dilution"
9.628,9.547,3.793,3.67,8.585,8.019,9.292,9.417,0.128362097534091
8.708,8.499,2.819,2.928,8.001,7.339,8.592,8.449,0.0320905243835228
7.547,7.769,2.59,2.409,7.165,6.602,7.801,7.71,0.0080226310958807
6.872,6.534,2.288,2.658,6.422,5.958,6.739,6.847,0.00200565777397018
6.214,5.705,2.283,2.31,5.146,4.624,6.077,5.774,0.000501414443492544
5.004,4.646,2.342,2.345,4.179,3.407,4.916,4.772,0.000125353610873136
3.74,3.864,2.346,2.259,3.26,2.966,3.809,3.761,3.1338402718284e-05
3.09,3.01,2.171,2.123,2.439,2.354,2.989,2.88,7.834600679571e-06
2.391,2.618,2.219,2.304,2.272,2.266,2.665,2.455,1.95865016989275e-06
2.649,2.419,2.453,2.281,2.172,2.27,2.531,2.455,4.89662542473187e-07
2.558,2.297,2.224,2.274,2.168,2.194,2.5,2.199,1.22415635618297e-07
2.374,2.311,2.403,2.119,2.248,2.257,2.424,2.267,3.06039089045742e-08
