"Reference1","Reference2","Control199","Control200","Infected397","Infected398","Infected399","Infected400","dilution"
7.457,7.791,2.825,2.98,7.729,3.095,7.762,7.695,0.135165605662776
7.131,6.951,2.32,2.405,6.521,2.393,7.139,6.648,0.0337914014156941
6.365,5.871,2.125,2.106,5.894,2.112,6.13,5.663,0.00844785035392352
5.665,5.573,1.829,1.905,5.391,1.831,5.847,5.331,0.00211196258848088
4.838,4.646,2.022,2.069,4.703,1.978,5.105,4.745,0.00052799064712022
4.074,3.881,1.787,1.715,3.922,1.914,4.053,3.786,0.000131997661780055
3.034,2.997,1.767,1.962,2.744,1.793,3.256,3.1,3.29994154450137e-05
2.414,2.319,1.911,1.819,2.442,1.713,2.545,2.297,8.24985386125344e-06
2.242,2.081,1.892,1.848,2.125,1.871,2.177,2.048,2.06246346531336e-06
1.926,1.85,1.989,1.711,1.767,1.661,1.93,2.029,5.1561586632834e-07
2.068,1.897,1.981,1.665,1.871,1.784,1.949,1.858,1.28903966582085e-07
1.976,2.036,1.838,1.967,1.965,1.813,1.827,1.846,3.22259916455212e-08
