"Reference1","Reference2","Control053","Control054","Infected105","Infected106","Infected107","Infected108","dilution"
8.698,8.316,3.72,3.613,6.2,6.277,7.158,8.185,0.146894505990693
7.833,7.687,3.136,3.047,5.649,5.719,6.983,8.033,0.0367236264976731
6.804,6.809,2.707,2.737,4.673,5.419,6.208,7.46,0.00918090662441828
6.125,6.114,2.747,2.679,3.729,4.215,5.4,6.417,0.00229522665610457
5.634,5.676,2.611,2.6,3.11,3.199,4.227,5.966,0.000573806664026143
5.032,4.726,2.702,2.715,2.671,3.005,3.754,4.926,0.000143451666006536
3.91,3.628,2.257,2.687,2.801,2.825,3.05,4.174,3.58629165016339e-05
3.348,2.949,2.591,2.727,2.465,2.733,2.792,3.133,8.96572912540848e-06
2.717,2.638,2.43,2.468,2.507,2.576,2.559,3.016,2.24143228135212e-06
2.969,2.804,2.632,2.571,2.537,2.683,2.757,2.528,5.6035807033803e-07
2.609,2.707,2.515,2.499,2.455,2.581,2.53,2.713,1.40089517584508e-07
2.5,2.465,2.728,2.487,2.529,2.746,2.452,2.638,3.50223793961269e-08
